UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,DocumentNumber,Status,DODAAC,UIC,UnitName,RPD,SignalCode,FundCode,ProjectCode,SupplementaryAddress,RequestType,RequiredDeliveryDate,ShipToDODAAC,ShipToName,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToZIP,Justification,JustificationText,LineCount,TotalValue,EnteredDate,EnteredBy,SubmittedDate,ReviewedBy,ApprovedDate,VendorKey,VendorName,ReleasedDate,ReleasedBy,EstimatedShipDate,CancelReason,CancelledDate,CancelledBy,StatusHistory,DocReaders,DocAuthors,Priority,LastModifiedBy,LastModifiedDate,StatusInquiryKey,RequesterName,RequesterRank,RequesterRole,RequesterPhone,RequesterEmail
08931C455AB7BA9DBAE714B0946F825F,NT000346,,03/27/2020 15:48:55,04/29/2020 00:48:55,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,W8ND2A00872177,Complete,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",03,M,21,,WFTYWM,Distinguishing Flag,07/14/2020,WFTYWM,101st Combat Aviation Brigade,"Bldg 5463, Property Book Office",Fort Campbell,Fort Campbell,KY,42223,Reflagging,"Reflagging - 1st Battalion, 3rd Infantry Regiment (The Old Guard)",1,64.12,03/27/2020,CN=Ines Umstead/OU=Units/O=Army,03/29/2020 19:48:55,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,04/10/2020 03:48:55,7GRN1,Green Mountain Embroidery Co.,04/19/2020 09:48:55,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,06/11/2020,,,,03/27/2020 15:48 | (new) -> Draft | Ines Umstead;03/29/2020 19:48 | Draft -> Submitted | Ines Umstead;04/02/2020 22:48 | Submitted -> Under Review | Yolanda Strickland-Oby;04/10/2020 03:48 | Under Review -> Approved | Yolanda Strickland-Oby;04/19/2020 09:48 | Approved -> Released to Vendor | Yolanda Strickland-Oby;04/21/2020 13:48 | Released to Vendor -> In Production | Vendor Portal;04/23/2020 19:48 | In Production -> Shipped | Vendor Portal;04/29/2020 00:48 | Shipped -> Complete | Renata Vasquez-Holm,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;CN=Ines Umstead/OU=Units/O=Army;7GRN1,CN=Ines Umstead/OU=Units/O=Army;[TACOM],Routine,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,04/29/2020 00:48:55,W8ND2A00872177|W8ND2A|WAAKAA,Ines Umstead,1LT,Other,(912) 555-5377,ines.umstead.mil@example.mil
1765FC5EDEFB1D6CC82D9586CC560AAF,NT000347,,06/24/2011 14:12:22,07/31/2011 19:12:22,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,W8ND2A11755971,Complete,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",02,A,2B,,W8ND2A,Streamer,10/01/2011,W8ND2A,"1st Battalion, 3rd Infantry Regiment (The Old Guard)","Bldg 3424, Property Book Office",Fort Myer,Arlington,VA,22211,Ceremony,"Ceremony - 1st Battalion, 3rd Infantry Regiment (The Old Guard)",2,771.80,20110624,CN=Ines Umstead/OU=Units/O=Army,06/27/2011 20:12:22,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,07/19/2011 04:12:22,7GRN1,Green Mountain Embroidery Co.,07/20/2011 10:12:22,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,10/12/2011,,,,"06/24/2011 14:12 | (new) -> Draft | Ines Umstead
06/27/2011 20:12 | Draft -> Submitted | Ines Umstead
07/09/2011 02:12 | Submitted -> Under Review | Yolanda Strickland-Oby
07/19/2011 04:12 | Under Review -> Approved | Yolanda Strickland-Oby
07/20/2011 10:12 | Approved -> Released to Vendor | Yolanda Strickland-Oby
07/26/2011 13:12 | Released to Vendor -> In Production | Vendor Portal
07/30/2011 14:12 | In Production -> Shipped | Vendor Portal
07/31/2011 19:12 | Shipped -> Complete | Cletus Marchbanks",[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;CN=Ines Umstead/OU=Units/O=Army;7GRN1,CN=Ines Umstead/OU=Units/O=Army;[TACOM],Routine,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,07/31/2011 19:12:22,W8ND2A11755971|W8ND2A|WAAKAA,Ines Umstead,1LT,Other,(912) 555-5377,ines.umstead.mil@example.mil
D8D3639B1FA1B5F0357BF99BA9799258,NT000348,,03/10/2009 13:45:59,05/06/2009 17:45:59,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,W45QBP90691186,Complete,W45QBP,WAF6AA,"2nd Battalion, 7th Cavalry Regiment",02,A,2B,,W5TDX4,Organizational Color,06/03/2009,W5TDX4,1st Cavalry Division Band,"Bldg 3956, Property Book Office",Fort Hood,Fort Hood,TX,76544,Ceremony,"Ceremony - 2nd Battalion, 7th Cavalry Regiment",2,608.40,10 MAR 09,CN=Theresa Lindqvist/OU=Units/O=Army,03/17/2009 15:45:59,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,04/04/2009 00:45:59,5KSB9,Keystone Standards & Banners,04/13/2009 04:45:59,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,05/15/2009,,,,03/10/2009 13:45 | (new) -> Draft | Theresa Lindqvist;03/17/2009 15:45 | Draft -> Submitted | Theresa Lindqvist;03/24/2009 18:45 | Submitted -> Under Review | Yolanda Strickland-Oby;04/04/2009 00:45 | Under Review -> Approved | Yolanda Strickland-Oby;04/13/2009 04:45 | Approved -> Released to Vendor | Yolanda Strickland-Oby;04/25/2009 11:45 | Released to Vendor -> In Production | Vendor Portal;05/02/2009 14:45 | In Production -> Shipped | Vendor Portal;05/06/2009 17:45 | Shipped -> Complete | Lorraine Whitcombe,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W45QBP;CN=Theresa Lindqvist/OU=Units/O=Army;5KSB9,CN=Theresa Lindqvist/OU=Units/O=Army;[TACOM],Routine,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,05/06/2009 17:45:59,W45QBP90691186|W45QBP|WAF6AA,Theresa Lindqvist,SSG,Other,(502) 555-1788,theresa.lindqvist.mil@example.mil
CF9DE8872F44F357E4A83757667D1A47,NT000349,,01/14/2011 13:21:53,02/15/2011 00:21:53,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W8ND2A10149940,Complete,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",13,J,2B,,W8ND2A,Positional Color,20110509,W8ND2A,"1st Battalion, 3rd Infantry Regiment (The Old Guard)","Bldg 3689, Property Book Office",Fort Myer,Arlington,VA,22211,Reflagging,"Reflagging - 1st Battalion, 3rd Infantry Regiment (The Old Guard)",4,4607.53,01/14/2011,CN=Marisol Sandoval/OU=Units/O=Army,01/17/2011 16:21:53,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,01/23/2011 01:21:53,1K7Q3,Keystone Colors & Standards Co.,02/02/2011 09:21:53,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,04/19/2011,,,,01/14/2011 13:21 | (new) -> Draft | Marisol Sandoval;01/17/2011 16:21 | Draft -> Submitted | Marisol Sandoval;01/20/2011 23:21 | Submitted -> Under Review | Dwayne Petrakis;01/23/2011 01:21 | Under Review -> Approved | Dwayne Petrakis;02/02/2011 09:21 | Approved -> Released to Vendor | Dwayne Petrakis;02/08/2011 12:21 | Released to Vendor -> In Production | Vendor Portal;02/09/2011 19:21 | In Production -> Shipped | Vendor Portal;02/15/2011 00:21 | Shipped -> Complete | Ret Hamlin,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;CN=Marisol Sandoval/OU=Units/O=Army;1K7Q3,CN=Marisol Sandoval/OU=Units/O=Army;[TACOM],Expedite,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,02/15/2011 00:21:53,W8ND2A10149940|W8ND2A|WAAKAA,Marisol Sandoval,WO1,S4 / Supply,(254) 555-8148,marisol.sandoval.mil@example.mil
970A532972AF982FF57F1E5074F92560,NT000350,,12/28/2013 08:03:56,02/09/2014 16:03:56,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,WK4GJR33625900,Complete,WK4GJR,W6VDAA,10th Mountain Division Sustainment Brigade,05,A,21,YKJ,WK4GJR,Guidon,2014-02-27,WK4GJR,10th Mountain Division Sustainment Brigade,"Bldg 3928, Property Book Office",Fort Drum,Fort Drum,NY,13602,Activation,Activation - 10th Mountain Division Sustainment Brigade,1,302.23,12/28/2013,CN=Terrence Bledsoe/OU=Units/O=Army,01/01/2014 11:03:56,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,01/15/2014 23:03:56,1CLR7,"Clearfield Colors & Regalia, Inc.",01/20/2014 02:03:56,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,03/12/2014,,,,12/28/2013 08:03 | (new) -> Draft | Terrence Bledsoe;01/01/2014 11:03 | Draft -> Submitted | Terrence Bledsoe;01/11/2014 18:03 | Submitted -> Under Review | Benedetta Kowalczyk;01/15/2014 23:03 | Under Review -> Approved | Benedetta Kowalczyk;01/20/2014 02:03 | Approved -> Released to Vendor | Benedetta Kowalczyk;02/01/2014 03:03 | Released to Vendor -> In Production | Vendor Portal;02/07/2014 08:03 | In Production -> Shipped | Vendor Portal;02/09/2014 16:03 | Shipped -> Complete | Benedetta Kowalczyk,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WK4GJR;CN=Terrence Bledsoe/OU=Units/O=Army;1CLR7,CN=Terrence Bledsoe/OU=Units/O=Army;[TACOM],Routine,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,02/09/2014 16:03:56,WK4GJR33625900|WK4GJR|W6VDAA,Terrence Bledsoe,2LT,Unit Commander,(586) 555-3400,terrence.bledsoe.mil@example.mil
6783664D129564389CF7ACA07B4045C9,NT000351,,05/11/2021 12:05:04,06/22/2021 20:05:04,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,WJMJXA11318440,Complete,WJMJXA,W4RSJA,35th Air Defense Artillery Brigade,12,J,21,,WJMJXA,Positional Color,09/01/2021,WJMJXA,35th Air Defense Artillery Brigade,"Bldg 2013, Property Book Office",Fort Bliss,El Paso,TX,79916,Deployment,Deployment - 35th Air Defense Artillery Brigade,1,64.12,05/11/2021,CN=Lucille Hollingsworth/OU=Units/O=Army,05/12/2021 19:05:04,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,06/02/2021 02:05:04,7GRN1,Green Mountain Embroidery Co.,06/07/2021 07:05:04,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,09/04/2021,,,,05/11/2021 12:05 | (new) -> Draft | Lucille Hollingsworth;05/12/2021 19:05 | Draft -> Submitted | Lucille Hollingsworth;05/20/2021 21:05 | Submitted -> Under Review | Oswaldo Ferreira-Lund;06/02/2021 02:05 | Under Review -> Approved | Oswaldo Ferreira-Lund;06/07/2021 07:05 | Approved -> Released to Vendor | Oswaldo Ferreira-Lund;06/15/2021 13:05 | Released to Vendor -> In Production | Vendor Portal;06/18/2021 17:05 | In Production -> Shipped | Vendor Portal;06/22/2021 20:05 | Shipped -> Complete | Benedetta Kowalczyk,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WJMJXA;CN=Lucille Hollingsworth/OU=Units/O=Army;7GRN1,CN=Lucille Hollingsworth/OU=Units/O=Army;[TACOM],Routine,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,06/22/2021 20:05:04,WJMJXA11318440|WJMJXA|W4RSJA,Lucille Hollingsworth,SSG,Executive Officer,(315) 555-1869,lucille.hollingsworth.mil@example.mil
E0AD8ADAAE5692A2826883188D8B32BD,NT000352,,03/11/2014 11:41:03,04/28/2014 16:41:03,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W8ND2A40703385,COMPLETE,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",15,A,21,,WB8QWH,Positional Color,04/30/2014,WB8QWH,81st Readiness Division (Army Reserve),"Bldg 5379, Property Book Office",Fort Jackson,Columbia,SC,29207,Ceremony,"Ceremony - 1st Battalion, 3rd Infantry Regiment (The Old Guard)",3,932.90,03/11/2014,CN=Bernice Villarreal/OU=Units/O=Army,03/19/2014 18:41:03,CN=Ret Hamlin/OU=CHPSID/O=TACOM,04/02/2014 06:41:03,7GRN1,Green Mountain Embroidery Co.,04/07/2014 11:41:03,CN=Ret Hamlin/OU=CHPSID/O=TACOM,05/14/2014,,,,03/11/2014 11:41 | (new) -> Draft | Bernice Villarreal;03/19/2014 18:41 | Draft -> Submitted | Bernice Villarreal;03/29/2014 23:41 | Submitted -> Under Review | Ret Hamlin;04/02/2014 06:41 | Under Review -> Approved | Ret Hamlin;04/07/2014 11:41 | Approved -> Released to Vendor | Ret Hamlin;04/16/2014 13:41 | Released to Vendor -> In Production | Vendor Portal;04/25/2014 14:41 | In Production -> Shipped | Vendor Portal;04/28/2014 16:41 | Shipped -> Complete | Cletus Marchbanks,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;CN=Bernice Villarreal/OU=Units/O=Army;7GRN1,CN=Bernice Villarreal/OU=Units/O=Army;[TACOM],Routine,CN=Ret Hamlin/OU=CHPSID/O=TACOM,04/28/2014 16:41:03,W8ND2A40703385|W8ND2A|WAAKAA,Bernice Villarreal,LTC,S4 / Supply,(254) 555-5254,bernice.villarreal.mil@example.mil
3FFA2AB4A10A046BAE33C5475005944D,NT000353,,10/01/2024 16:33:39,11/11/2024 09:33:39,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W8ND2A42759708,"Complete ",W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",03,J,21,,W7PN3T,Streamer,12/14/2024,W7PN3T,278th Armored Cavalry Regiment (Tennessee ARNG),"Bldg 8009, Property Book Office",Knoxville Armory,Knoxville,TN,37914,Deployment,"Deployment - 1st Battalion, 3rd Infantry Regiment (The Old Guard)",3,8100.68,10/01/2024,CN=Bernice Villarreal/OU=Units/O=Army,10/06/2024 00:33:39,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,10/13/2024 12:33:39,1CLR7,"Clearfield Colors & Regalia, Inc.",10/14/2024 17:33:39,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,11/30/2024,,,,10/01/2024 16:33 | (new) -> Draft | Bernice Villarreal;10/06/2024 00:33 | Draft -> Submitted | Bernice Villarreal;10/08/2024 08:33 | Submitted -> Under Review | Dwayne Petrakis;10/13/2024 12:33 | Under Review -> Approved | Dwayne Petrakis;10/14/2024 17:33 | Approved -> Released to Vendor | Dwayne Petrakis;10/26/2024 00:33 | Released to Vendor -> In Production | Vendor Portal;11/05/2024 02:33 | In Production -> Shipped | Vendor Portal;11/11/2024 09:33 | Shipped -> Complete | Yolanda Strickland-Oby,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;CN=Bernice Villarreal/OU=Units/O=Army;1CLR7,CN=Bernice Villarreal/OU=Units/O=Army;[TACOM],Routine,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,11/11/2024 09:33:39,W8ND2A42759708|W8ND2A|WAAKAA,Bernice Villarreal,LTC,S4 / Supply,(254) 555-5254,bernice.villarreal.mil@example.mil
83C3124D56949677248A51E5D1100A09,NT000354,,07/20/2020 13:26:23,09/17/2020 15:26:23,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,WK4GJR02022637,completed,WK4GJR,W6VDAA,10th Mountain Division Sustainment Brigade,15,M,AR,VN4,WK4GJR,Insignia,10/06/2020,WK4GJR,10th Mountain Division Sustainment Brigade,"Bldg 7109, Property Book Office",Fort Drum,Fort Drum,NY,13602,Ceremony,Ceremony - 10th Mountain Division Sustainment Brigade,3,2559.94,07/20/2020,CN=Terrence Bledsoe/OU=Units/O=Army,07/24/2020 21:26:23,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,08/14/2020 04:26:23,3SRF2,Surf City Flag Works LLC,08/25/2020 08:26:23,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,10/01/2020,,,,"07/20/2020 13:26 | (new) -> Draft | Terrence Bledsoe
07/24/2020 21:26 | Draft -> Submitted | Terrence Bledsoe
08/06/2020 00:26 | Submitted -> Under Review | Yolanda Strickland-Oby
08/14/2020 04:26 | Under Review -> Approved | Yolanda Strickland-Oby
08/25/2020 08:26 | Approved -> Released to Vendor | Yolanda Strickland-Oby
09/04/2020 11:26 | Released to Vendor -> In Production | Vendor Portal
09/05/2020 13:26 | In Production -> Shipped | Vendor Portal
09/17/2020 15:26 | Shipped -> Complete | Ignatius Pardo",[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WK4GJR;CN=Terrence Bledsoe/OU=Units/O=Army;3SRF2,CN=Terrence Bledsoe/OU=Units/O=Army;[TACOM],Routine,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,09/17/2020 15:26:23,WK4GJR02022637|WK4GJR|W6VDAA,Terrence Bledsoe,2LT,Unit Commander,(586) 555-3400,terrence.bledsoe.mil@example.mil
73C52B304DD84F042432F41FA2F1B126,NT000355,,01/25/2025 12:29:15,03/11/2025 14:29:15,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WEKX1S50251002,closed,WEKX1S,W9LMPA,"3rd Brigade Combat Team, 82nd Airborne Division",15,M,AR,,WEKX1S,Organizational Color,12 MAR 25,WEKX1S,"3rd Brigade Combat Team, 82nd Airborne Division","Bldg 4244, Property Book Office",Fort Bragg,Fort Bragg,NC,28310,Deployment,"Deployment - 3rd Brigade Combat Team, 82nd Airborne Division",4,3330.57,20250125,CN=Lucille Lockridge/OU=Units/O=Army,02/02/2025 14:29:15,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,02/07/2025 19:29:15,8BLU5,Bluegrass Heraldic Supply,02/16/2025 23:29:15,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,04/12/2025,,,,01/25/2025 12:29 | (new) -> Draft | Lucille Lockridge;02/02/2025 14:29 | Draft -> Submitted | Lucille Lockridge;02/06/2025 18:29 | Submitted -> Under Review | Lorraine Whitcombe;02/07/2025 19:29 | Under Review -> Approved | Lorraine Whitcombe;02/16/2025 23:29 | Approved -> Released to Vendor | Lorraine Whitcombe;02/25/2025 07:29 | Released to Vendor -> In Production | Vendor Portal;03/05/2025 11:29 | In Production -> Shipped | Vendor Portal;03/11/2025 14:29 | Shipped -> Complete | Yolanda Strickland-Oby,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WEKX1S;CN=Lucille Lockridge/OU=Units/O=Army;8BLU5,CN=Lucille Lockridge/OU=Units/O=Army;[TACOM],Routine,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,03/11/2025 14:29:15,WEKX1S50251002|WEKX1S|W9LMPA,Lucille Lockridge,SGT,Executive Officer,(910) 555-5442,lucille.lockridge.mil@example.mil
