UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ParentDocNumber,LineNumber,LineDocNumber,NSN,ItemKey,ItemDescription,ExceptionData,UnitOfIssue,Quantity,UnitPrice,ExtendedPrice,LineStatus,VendorShipDate,DocReaders,VendorKey,EnteredBy,LookupKey
E855053E86673AD3D315DDAA6EF97E01,NT000376,08931C455AB7BA9DBAE714B0946F825F,03/27/2020 15:51:55,04/19/2020 09:48:55,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,W8ND2A00872177,1,W8ND2A00872177-01,8345-00-540-7719,8345-00-540-7719,"Streamer, Campaign, Global War on Terrorism, 2-3/4 in x 4 ft",,EA,1,64.12,64.12,Complete,05/10/2020,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;7GRN1,7GRN1,CN=Ines Umstead/OU=Units/O=Army,W8ND2A00872177|01
5D699EC40315A085F29B8A9C2AA16B8C,NT000377,1765FC5EDEFB1D6CC82D9586CC560AAF,06/24/2011 14:15:22,07/20/2011 10:12:22,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,W8ND2A11755971,1,W8ND2A11755971-01,8345-00-541-0032,8345-00-541-0032,"Streamer, Campaign, Vietnam, embroidered lettering","Unit designation: 2-7 CAV, ""GARRYOWEN"" scroll",EA,4,71.80,71.80,Closed,08/19/2011,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;7GRN1,7GRN1,CN=Ines Umstead/OU=Units/O=Army,W8ND2A11755971|01
9A18591A9ADC7D1A284A593AFED9633B,NT000378,1765FC5EDEFB1D6CC82D9586CC560AAF,06/24/2011 14:18:22,07/20/2011 10:12:22,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,W8ND2A11755971,2,W8ND2A11755971-02,8345-00-263-0802,8345-00-263-0802,"Guidon, Armor, 20 in x 27-3/4 in, yellow",,EA,4,121.15,484.60,Closed,09/26/2011,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;7GRN1,7GRN1,CN=Ines Umstead/OU=Units/O=Army,W8ND2A11755971|02
609A5D5089E2E8264EB151C2130B37FD,NT000379,D8D3639B1FA1B5F0357BF99BA9799258,03/10/2009 13:48:59,04/13/2009 04:45:59,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,W45QBP90691186,1,W45QBP90691186-01,8345-00-541-0032,8345-00-541-0032,"Streamer, Campaign, Vietnam, embroidered lettering",,EA,3,71.80,215.40,Complete,05/28/2009,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W45QBP;5KSB9,5KSB9,CN=Theresa Lindqvist/OU=Units/O=Army,W45QBP90691186|01
F99FBC2C9416B993928A367867F16BD9,NT000380,D8D3639B1FA1B5F0357BF99BA9799258,03/10/2009 13:51:59,04/13/2009 04:45:59,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,W45QBP90691186,2,W45QBP90691186-02,8345-00-753-1106,8345-00-753-1106,"Cord and Tassel, Organizational Color, 8 ft 6 in, scarlet and gold",,SE,4,98.25,393.00,Complete,06/02/2009,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W45QBP;5KSB9,5KSB9,CN=Theresa Lindqvist/OU=Units/O=Army,W45QBP90691186|02
2CEFB663182A1E96759524C36A97FDB4,NT000381,CF9DE8872F44F357E4A83757667D1A47,01/14/2011 13:24:53,02/02/2011 09:21:53,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,W8ND2A10149940,1,W8ND2A10149940-01,8345-01-402-6651,8345-01-402-6651,"Flag, Automobile, General Officer (Brigadier General), 12 in x 18 in",,EA,1,204.75,204.75,Complete,03/05/2011,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;1K7Q3,1K7Q3,CN=Marisol Sandoval/OU=Units/O=Army,W8ND2A10149940|01
3D223177938A4F67D72DCACA94ABF569,NT000382,CF9DE8872F44F357E4A83757667D1A47,01/14/2011 13:27:53,02/02/2011 09:21:53,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,W8ND2A10149940,2,W8ND2A10149940-02,8345-00-541-0032,8345-00-541-0032,"Streamer, Campaign, Vietnam, embroidered lettering",,EA,4,71.80,287.20,Closed,04/11/2011,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;1K7Q3,1K7Q3,CN=Marisol Sandoval/OU=Units/O=Army,W8ND2A10149940|02
9D745DD586A3B825CD268B6E69B11D4B,NT000383,CF9DE8872F44F357E4A83757667D1A47,01/14/2011 13:30:53,02/02/2011 09:21:53,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W8ND2A10149940,3,W8ND2A10149940-03,8345-00-753-1106,8345-00-753-1106,"Cord and Tassel, Organizational Color, 8 ft 6 in, scarlet and gold",,SE,2,98.25,196.50,Closed,03/20/2011,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;1K7Q3,1K7Q3,CN=Marisol Sandoval/OU=Units/O=Army,W8ND2A10149940|03
8F3B215F31CF7F3250A30E822C2561BB,NT000384,CF9DE8872F44F357E4A83757667D1A47,01/14/2011 13:33:53,02/02/2011 09:21:53,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,W8ND2A10149940,4,W8ND2A10149940-04,8345-00-916-5301,8345-00-916-5301,"Color, Organizational, Signal Battalion, 3 ft x 4 ft, embroidered",,EA,2,1959.54,3919.08,Delivered,03/23/2011,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-W8ND2A;1K7Q3,1K7Q3,CN=Marisol Sandoval/OU=Units/O=Army,W8ND2A10149940|04
E6FC63AF4AACA5A07F1A6DF48F285105,NT000385,970A532972AF982FF57F1E5074F92560,12/28/2013 08:06:56,01/20/2014 02:03:56,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,WK4GJR33625900,1,WK4GJR33625900-01,8345-01-402-6650,8345-01-402-6650,"Flag, Distinguishing, General Officer (Major General), 3 ft x 4 ft",,EA,1,302.23,302.23,Complete,03/15/2014,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WK4GJR;1CLR7,1CLR7,CN=Terrence Bledsoe/OU=Units/O=Army,WK4GJR33625900|01
