UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,RequesterKey,Name,Rank,DODAAC,UIC,UnitName,Role,Phone,Email,CreatedDate,LookupKey
175B94AF5815F1F19CFD7C4ED5B7117B,NT000067,,06/14/2025 14:49:13,06/14/2025 14:49:13,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W5TDX4~h.treadwell,Harold Treadwell,WO1,W5TDX4,WAFRAA,1st Cavalry Division Band,Other,(315) 555-9265,harold.treadwell.mil@example.mil,06/14/2025,W5TDX4~H.TREADWELL
A007AE50BB13972B642445725FF83E5E,NT000068,,01/04/2018 17:12:35,01/04/2018 17:12:35,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,W45QBP~w.castellanos,Wanda Castellanos,1LT,W45QBP,WAF6AA,"2nd Battalion, 7th Cavalry Regiment",S4 / Supply,(253) 555-9144,wanda.castellanos.mil@example.mil,20180104,W45QBP~W.CASTELLANOS
DAFBC34733CEBEC9D67DFA87B139DEFD,NT000069,,10/28/2023 13:09:28,10/28/2023 13:09:28,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,W8ND2A~b.villarreal,Bernice Villarreal,LTC,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",S4 / Supply,(254) 555-5254,bernice.villarreal.mil@example.mil,10/28/2023,W8ND2A~B.VILLARREAL
CDA623524D93EAF79677F92B6C9B70A0,NT000070,,06/27/2021 11:40:52,06/27/2021 11:40:52,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W2H7KM~t.yarbrough,Tyler Yarbrough,MAJ,W2H7KM,WABTAA,7th Infantry Division Headquarters,Protocol Officer,(915) 555-3019,tyler.yarbrough.mil@example.mil,27 JUN 21,W2H7KM~T.YARBROUGH
99F1DD3D605C91929235186674943F53,NT000071,,03/31/2019 17:57:32,03/31/2019 17:57:32,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,W45QBP~t.lindqvist,Theresa Lindqvist,SSG,W45QBP,WAF6AA,"2nd Battalion, 7th Cavalry Regiment",Other,(502) 555-1788,theresa.lindqvist.mil@example.mil,03/31/2019,W45QBP~T.LINDQVIST
ADD801626BC145CD7BA1DDEC1FE4CD99,NT000072,,05/01/2015 13:26:30,05/01/2015 13:26:30,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,WEKX1S~m.jarrell,Margaret Jarrell,1SG,WEKX1S,W9LMPA,"3rd Brigade Combat Team, 82nd Airborne Division",S4 / Supply,(912) 555-0055,margaret.jarrell.mil@example.mil,01 MAY 15,WEKX1S~M.JARRELL
20512F5A0BD7296CCF67F6932BD7F0F3,NT000073,,04/08/2024 12:42:37,04/08/2024 12:42:37,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,W8ND2A~m.sandoval,Marisol Sandoval,WO1,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",S4 / Supply,(254) 555-8148,marisol.sandoval.mil@example.mil,04/08/2024,W8ND2A~M.SANDOVAL
380E7461406FEB9195DDAAEC03BD5646,NT000074,,11/09/2023 07:58:50,11/09/2023 07:58:50,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,W8ND2A~i.umstead,Ines Umstead,1LT,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",Other,(912) 555-5377,ines.umstead.mil@example.mil,20231109,W8ND2A~I.UMSTEAD
02E36C245C1BD6EFF21BF92E785004A6,NT000075,,11/19/2021 09:51:35,11/19/2021 09:51:35,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,WJMJXA~c.ivester,Cassandra Ivester,PVT,WJMJXA,W4RSJA,35th Air Defense Artillery Brigade,Other,(719) 555-9654,cassandra.ivester.mil@example.mil,11/19/2021,WJMJXA~C.IVESTER
B8857DEB84DE6BCF4A8C03892649B932,NT000076,,12/07/2013 12:43:34,12/07/2013 12:43:34,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,W0YZ6H~c.haverford,Charles Haverford,PFC,W0YZ6H,W2FLAA,U.S. Army Garrison Fort Leonard Wood,S4 / Supply,(502) 555-1996,charles.haverford.mil@example.mil,2013-12-07,W0YZ6H~C.HAVERFORD
