UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ParentCaseNumber,ParentUNID,VeteranName,LineNumber,AwardName,AwardCode,AwardCategory,Quantity,SetType,Devices,DeviceCount,Engrave,EngravingText,StockNumber,LineStatus,BackorderETA,Authority,DocReaders,LineKey
5ADA1C70612874594F2B627A317ECE4E,NT000141,33EA82D2E5D8360F35B1C7F4D1ABF1E2,05/24/2015 08:44:38,06/25/2015 21:38:38,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2015-000001,8D5DE56037F99AD11DD989D7665BC839,"Sandoval, Theresa",1,Humanitarian Service Medal,HSM,Medal,1,Full Size + Miniature,Bronze service star,2,No,,8455-00-065-2882,Shipped,,Permanent Orders 118-04,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,VMA-2015-000001|01
D721ACCE2E6925C93E8CFD5F709E1F57,NT000142,33EA82D2E5D8360F35B1C7F4D1ABF1E2,05/24/2015 09:01:38,06/25/2015 21:38:38,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,VMA-2015-000001,33EA82D2E5D8360F35B1C7F4D1ABF1E2,"Sandoval, Theresa",2,Overseas Service Ribbon,OSR,Ribbon,1,Full Size,"""V"" device",1,No,,8455-01-109-3566,Shipped,,"DD Form 214, block 24",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,VMA-2015-000001|02
4FB25E602213D5A3C63B43A8F1D83EAC,NT000143,05359F78F61E51B282DB016F23F88162,08/28/2012 17:10:06,09/29/2012 06:52:06,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2012-000001,5B23CF43DB73E276C34DC4790446870A,"Sandoval, Harold",1,Philippine Liberation Medal,PLM,Medal,1,Full Size,Bronze service star,2,No,,8455-00-412-9671,Shipped,,Permanent Orders 118-04,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,VMA-2012-000001|01
59F7310B065B56E704D96ED07C261FFA,NT000144,05359F78F61E51B282DB016F23F88162,08/28/2012 16:54:06,09/29/2012 06:52:06,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,VMA-2012-000001,05359F78F61E51B282DB016F23F88162,"Sandoval, Harold",2,Bronze Star Medal,BSM,Medal,1,Full Size,Arrowhead,1,No,,8455-01-499-3345,COMPLETE,,NA Form 13038,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,VMA-2012-000001|02
24B8BE027CC66CF6AA768DCFDDD35F2B,NT000145,05359F78F61E51B282DB016F23F88162,08/28/2012 17:18:06,09/29/2012 06:52:06,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2012-000001,05359F78F61E51B282DB016F23F88162,"Sandoval, Harold",3,American Defense Service Medal,ADSM,Medal,1,Ribbon Only,,0,No,,8455-01-469-1178,Complete,,"DD Form 214, block 24",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ret Hamlin/OU=CHPSID/O=TACOM,VMA-2012-000001|03
8B2521E69019115313C21FB3A7808567,NT000146,F635D98F8A39C668F07A1B1CE86A9375,10/25/2024 10:38:03,11/21/2024 21:29:03,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2024-000001,F635D98F8A39C668F07A1B1CE86A9375,"Abernathy, Margaret",1,Republic of Korea War Service Medal,ROKWSM,Medal,1,Full Size,,0,Yes,M. F. ABERNATHY,8455-00-173-0532,Closed,,HRC Awards and Decorations Branch letter,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,VMA-2024-000001|01
44E7481AD6F0310A7726585F85535D41,NT000147,F635D98F8A39C668F07A1B1CE86A9375,10/25/2024 10:50:03,11/21/2024 21:29:03,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2024-000001,F635D98F8A39C668F07A1B1CE86A9375,"Abernathy, Margaret",2,United Nations Service Medal (Korea),UNSMK,Medal,1,Ribbon Only,Arrowhead,1,Yes,M. F. ABERNATHY,8455-00-960-8472,Complete,,"DD Form 214, block 24",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,VMA-2024-000001|02
763240522FB13280FC7FEA3DA45D066F,NT000148,F635D98F8A39C668F07A1B1CE86A9375,10/25/2024 10:35:03,11/21/2024 21:29:03,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,VMA-2024-000001,F635D98F8A39C668F07A1B1CE86A9375,"Abernathy, Margaret",3,Bronze Star Medal,BSM,Medal,1,Miniature,,0,No,,8455-00-511-8380,Shipped,,WD AGO Form 53-55,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,VMA-2024-000001|03
C83A80C9AB86C926A067D312610FA9E9,NT000149,CABB05E64E121462CA545210F59D21CE,11/19/2017 14:00:10,12/11/2017 05:48:10,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,VMA-2017-000001,CABB05E64E121462CA545210F59D21CE,"Mabry, Margaret",1,Army Good Conduct Medal,GCM,Medal,1,Ribbon Only,Bronze service star,2,No,,8455-00-322-5983,Shipped,,"DD Form 214, block 13",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,VMA-2017-000001|01
9A9D485F3D7DB21E1325D7738B5ABA6A,NT000150,CABB05E64E121462CA545210F59D21CE,11/19/2017 14:02:10,12/11/2017 05:48:10,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2017-000001,CABB05E64E121462CA545210F59D21CE,"Mabry, Margaret",2,Republic of Vietnam Gallantry Cross Unit Citation,RVNGC,Unit Award,1,Full Size,"""V"" device",1,No,,8455-01-147-6423,Complete,,WD AGO Form 53-55,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,VMA-2017-000001|02
