UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ParentCaseNumber,ParentUNID,NoteType,ContactName,ContactPhone,Body,Summary,FollowUpDate,FollowUpDone,NoteAuthor,NoteDate,DocReaders,DocAuthors
9A15876F11BE469E13745D6C3EBCC9DA,NT000316,5B23CF43DB73E276C34DC4790446870A,09/18/2017 07:21:40,09/18/2017 07:21:40,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2017-000002,5B23CF43DB73E276C34DC4790446870A,NOK Documentation,,,Death certificate / relationship proof received. Requester satisfied.,Death certificate / relationship proof received,,Yes,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,09/18/2017 07:21:40,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM;[Admin]
6B844D1A74A50CED07C7A2C36308FE01,NT000317,B4596FA1D3BD800801AFFBE825B64828,03/10/2004 16:21:03,03/10/2004 16:21:03,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2004-000002,B4596FA1D3BD800801AFFBE825B64828,HRC Query,,,Eligibility question sent to HRC Awards and Decorations Branch; awaiting reply.,Eligibility question sent to HRC,,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,03/10/2004 16:21:03,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ret Hamlin/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
BB9A44B5DCB2BA786E92C9FF371C397A,NT000318,F374076ABBF2095247A2CE2FC9F30494,08/14/2020 08:31:31,08/14/2020 08:31:31,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2020-000001,F374076ABBF2095247A2CE2FC9F30494,Address Correction,,,"Requester called 08/14/2020. Asked: ""Is the Purple Heart, the Bronze Star, or both in this shipment?""
Advised: both lines are on the case, ""Closed"" as of today.
Requester's comment, verbatim: ""Dad would have been 98 this year, please hurry.""",Ship-to updated,,Yes,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,08/14/2020 08:31:31,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM;[Admin]
3EFF0F5C66C8C0FA263AFAD078DA144F,NT000319,7F09098857523C0DDC01E862CF27AE67,08/18/2026 12:08:00,08/18/2026 12:08:00,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,VMA-2026-000010,7F09098857523C0DDC01E862CF27AE67,NOK Documentation,,,Death certificate / relationship proof received. Requester satisfied.,Death certificate / relationship proof received,08/20/2026,Yes,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,08/18/2026 12:08:00,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM;[Admin]
6C653B1DE2C92822D37E5DE7AB71F191,NT000320,E2D6DAE06FCFC0BAF03D023D471F3948,08/21/2026 08:36:08,08/21/2026 08:36:08,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,VMA-2026-000022,E2D6DAE06FCFC0BAF03D023D471F3948,Phone Call - Inbound,Roderick Nordstrom,(253) 555-5606,Requester called for status. Advised case is in On Hold; no ETA given.,Requester called for status,08/29/2026,Yes,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,08/21/2026 08:36:08,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ignatius Pardo/OU=CHPSID/O=TACOM,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM;[Admin]
303ED16F3C7A2AFC365836A043C120C9,NT000321,1D1A92310C19C0195C36FFD31CD63257,08/21/2026 07:54:01,08/21/2026 07:54:01,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2026-000006,1D1A92310C19C0195C36FFD31CD63257,Address Correction,,,Ship-to updated per requester; USPS verified.,Ship-to updated,,Yes,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,08/21/2026 07:54:01,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
55A17844C01AB40C9FCF48337E3B1B3C,NT000322,CBD77CC72C3874026ED761FFD0B8C03D,10/16/2023 13:48:46,10/16/2023 13:48:46,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2023-000002,CBD77CC72C3874026ED761FFD0B8C03D,Address Correction,,,Ship-to updated per requester; USPS verified.,Ship-to updated,10/18/2023,,CN=Ret Hamlin/OU=CHPSID/O=TACOM,10/16/2023 13:48:46,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Ret Hamlin/OU=CHPSID/O=TACOM;[Admin]
7ACE9F09B9DC629C2271DDE4AF18BB04,NT000323,772738D9DA59875962F935D9B1709535,02/12/2020 16:19:23,02/12/2020 16:19:23,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,VMA-2020-000002,772738D9DA59875962F935D9B1709535,Phone Call - Inbound,Theresa Ingersoll,(915) 555-7134,Requester called for status. Advised case is in Cancelled; no ETA given.,Requester called for status,,Yes,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,02/12/2020 16:19:23,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM;[Admin]
E2A34B57C625659DAAAF40BEE88630E8,NT000324,F107CAB5C888FA5DDE1959251EDB0716,06/04/2026 08:24:22,06/04/2026 08:24:22,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,VMA-2026-000003,F107CAB5C888FA5DDE1959251EDB0716,Phone Call - Inbound,Theresa Ingersoll,(502) 555-1881,"Requester called 06/04/2026. Asked: ""Is the Purple Heart, the Bronze Star, or both in this shipment?""
Advised: both lines are on the case, ""Authorized"" as of today.
Requester's comment, verbatim: ""Dad would have been 98 this year, please hurry.""",Requester called for status,06/11/2026,,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,06/04/2026 08:24:22,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM;[Admin]
FF303A4D31B7E6F80B6D6B4304705937,NT000325,D5FA3C49788703F03950EFE755BDA967,08/11/2026 08:43:21,08/11/2026 08:43:21,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2026-000014,D5FA3C49788703F03950EFE755BDA967,Congressional Inquiry,,,Staffer from the member's district office requested status. Response due in 5 business days.,Congressional interest logged,,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,08/11/2026 08:43:21,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
