UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,JobNumber,CaseNumber,VeteranName,JobStatus,Priority,Items,EngravingText,Font,Machine,ProofChecked,QueuedDate,StartedDate,CompletedDate,Engraver,ReworkCount,Notes,DocReaders,DaysInQueue
3CD0823F33252B4BBDB4F1A42A8ED12A,NT000261,,06/30/2026 10:39:00,07/10/2026 10:39:00,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,ENG-2026-00001,VMA-2026-000011,"Underhill-Voss, Charles",Complete,Routine,Army Achievement Medal :: C. A. UNDERHILL-VOSS,C. A. UNDERHILL-VOSS,Script,Rotary-A,Spelling verified against authorization record;Award matches line item,06/30/2026 10:39:00,07/04/2026 10:39:00,07/10/2026 10:39:00,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,4
FF44ABE964D2254FC2F91DB52DC2E4DA,NT000262,,08/21/2026 09:48:00,08/29/2026 09:48:00,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,ENG-2026-00002,VMA-2026-000013,"Fairweather, Darnell",Complete,Routine,Bronze Star Medal :: D. H. FAIRWEATHER;National Defense Service Medal :: D. H. FAIRWEATHER,D. H. FAIRWEATHER,Roman,Laser-1,Spelling verified against authorization record;Award matches line item,08/21/2026 09:48:00,08/25/2026 09:48:00,08/29/2026 09:48:00,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,4
648D6FFC2D6BC779971D9C1BAA8DCE9C,NT000263,,06/24/2026 08:09:00,07/05/2026 08:09:00,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,ENG-2026-00003,VMA-2026-000015,"Nordstrom, Clarence",Complete,Routine,Army Reserve Components Achievement Medal :: C. NORDSTROM,C. NORDSTROM,Block,Laser-1,Spelling verified against authorization record;Award matches line item,06/24/2026 08:09:00,06/27/2026 08:09:00,07/05/2026 08:09:00,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,3
34DDFCAE98168EDB439C130BB80EFEC3,NT000264,,04/13/2026 11:45:00,04/21/2026 11:45:00,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,ENG-2026-00004,VMA-2026-000018,"Quintanilla, Betty",Complete,Routine,Army Reserve Components Achievement Medal :: B. QUINTANILLA,B. QUINTANILLA,Block,Rotary-A,Spelling verified against authorization record;Award matches line item,04/13/2026 11:45:00,04/16/2026 11:45:00,04/21/2026 11:45:00,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,3
C1F86D7D82EA03C327B7E46185CF0B67,NT000265,,11/11/2024 21:29:03,11/14/2024 21:29:03,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,ENG-2024-00001,VMA-2024-000001,"Abernathy, Margaret",Complete,Expedite,Republic of Korea War Service Medal :: M. F. ABERNATHY;United Nations Service Medal (Korea) :: M. F. ABERNATHY;Republic of Korea War Service Medal :: M. F. ABERNATHY,M. F. ABERNATHY,Block,Laser-1,Spelling verified against authorization record;Award matches line item,11/11/2024 21:29:03,11/13/2024 21:29:03,11/14/2024 21:29:03,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,2
B34AEEB4A7230CDC29244934FE2939B5,NT000266,,07/02/2024 08:48:04,07/13/2024 08:48:04,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,ENG-2024-00002,VMA-2024-000002,"Prentiss, Vernon",Completed,Routine,Korean Service Medal :: V. PRENTISS,V. PRENTISS,Roman,Laser-1,Spelling verified against authorization record;Award matches line item,07/02/2024 08:48:04,07/04/2024 08:48:04,07/13/2024 08:48:04,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,2
302E6E2B2EC60FC7497F556795DA903C,NT000267,,04/19/2004 01:00:45,04/26/2004 01:00:45,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,ENG-2004-00001,VMA-2004-000001,"Delgadillo, Cassandra",Done,Routine,Bronze Star Medal :: C. DELGADILLO;Air Medal :: C. DELGADILLO,C. DELGADILLO,Block,Laser-1,Spelling verified against authorization record;Award matches line item,04/19/2004 01:00:45,04/20/2004 01:00:45,04/26/2004 01:00:45,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,1
ADBC8F0F5246111972554505B2169F1A,NT000268,,10/11/2006 09:35:34,10/19/2006 09:35:34,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,ENG-2006-00001,VMA-2006-000002,"Rasmussen, Roderick",Complete,Routine,Army Achievement Medal :: R. R. RASMUSSEN;Army Good Conduct Medal :: R. R. RASMUSSEN,R. R. RASMUSSEN,Script,Laser-1,Spelling verified against authorization record;Award matches line item,10/11/2006 09:35:34,10/15/2006 09:35:34,10/19/2006 09:35:34,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,4
AA17D99E8B5247144487AFE0203AE724,NT000269,,05/24/2026 11:05:00,05/24/2026 11:05:00,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,ENG-2026-00005,VMA-2026-000009,"Fairweather, Ines",Queued,Congressional,Army Commendation Medal :: I. Fairweather,I. Fairweather,Script,Rotary-A,,05/24/2026 11:05:00,,,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,100
04F3E7848A03D3545A77D3B67A8D57D5,NT000270,,06/05/2026 11:03:00,06/06/2026 11:03:00,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,ENG-2026-00006,VMA-2026-000022,"Nordstrom, Marcus",In Progress,Congressional,Army Good Conduct Medal :: M. N. NORDSTROM,M. N. NORDSTROM,Roman,Rotary-A,Spelling verified against authorization record;Award matches line item,06/05/2026 11:03:00,06/06/2026 11:03:00,,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,1
