UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,RequesterID,LastName,Suffix,FirstName,MI,Relationship,VeteranName,Street,City,State,ZIP,Phone,Email,PreferredContact,Source,CreatedDate,AddressVerified,AddressVerifiedDate,LookupKey,DisplayName,DocReaders,MergedInto
88003654A034C5517558B74135E7B1DC,NT000022,,09/13/2017 12:58:51,01/13/2018 12:58:51,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,RQ000001,Ybarra,,Tyler,J,Spouse,Clarence Ybarra,1184 Old Post Rd,Junction City,KS,66441,(315) 555-2008,tyler.ybarra@example.com,Mail,Phone,09/13/2017,Yes,09/14/2017,YBARRA|TYLER|66441,"Ybarra, Tyler J",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
FEDEE9F3129D63A0E70EBCF8B82E2979,NT000023,,03/24/2022 11:57:58,04/14/2022 11:57:58,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,RQ000002,Galloway,,Roderick,B,Nephew,Dolores Galloway,7173 Marshall Ct,Killeen,TX,76541,(719) 555-2064,,Phone,Walk-in,03/24/2022,Yes,03/28/2022,GALLOWAY|RODERICK|76541,"Galloway, Roderick B",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
8591C135F84D8D22151E3EE557514ED0,NT000024,,03/03/2006 08:43:17,06/07/2006 08:43:17,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,RQ000003,Vanterpool,,Dolores,,Sibling,Carol Vanterpool,1074 Eisenhower Blvd Apt 14B,Manchester,NH,03104,(912) 555-3756,,Email,Congressional,03 MAR 06,No,,VANTERPOOL|DOLORES|03104,"Vanterpool, Dolores",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
469FE5854EC80D755EB11A47A9F124B3,NT000025,,08/28/2019 08:41:42,03/23/2020 08:41:42,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,RQ000004,Abernathy,,Marcus,F,Executor,Jeffrey Abernathy,8595 Bradley Ave,Colorado Springs,CO,80913,(719) 555-7223,marcus.abernathy@example.com,Mail,Congressional,2019-08-28,Yes,09/01/2019,ABERNATHY|MARCUS|80913,"Abernathy, Marcus F",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
226B8B34584247D31E8CCC9EB401AE4C,NT000026,,11/21/2004 14:14:51,11/24/2004 14:14:51,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,RQ000005,Fairweather,,Betty,,Spouse,Alvin Fairweather,5368 Cantonment Way Apt 14C,Leesville,LA,71446,(785) 555-0934,betty.fairweather@example.com,Mail,Walk-in,11/21/2004,Yes,11/22/2004,FAIRWEATHER|BETTY|71446,"Fairweather, Betty",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
BD7C9B95BA647FA14DCF7CEB017F89B9,NT000027,,01/10/2009 17:21:23,02/05/2009 17:21:23,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,RQ000006,Pemberton,,Jeffrey,E,Sibling,Charles Pemberton,1388 Grant Ave,Fayetteville,NC,28301,(586) 555-7600,jeffrey.pemberton@example.com,Mail,Web,01/10/2009,No,,PEMBERTON|JEFFREY|28301,"Pemberton, Jeffrey E",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
2C0CD72BDF1B6C3CD027E02171F61B89,NT000028,,11/01/2006 10:45:03,07/13/2007 10:45:03,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,RQ000007,Hollingsworth,,Lucille,H,Widow,John Hollingsworth,9748 Eisenhower Blvd,Clarksville,TN,37040,(502) 555-3348,,Mail,Mail,11/01/2006,Yes,11/02/2006,HOLLINGSWORTH|LUCILLE|37040,"Hollingsworth, Lucille H",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
A6BBFFA83844AD038F3AFF59BF671E4B,NT000029,,06/06/2008 12:22:25,11/07/2008 12:22:25,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,RQ000008,Villarreal,,Harold,G,Self,Harold G Villarreal,8123 Washington St,Leesville,LA,71446,(254) 555-7797,harold.villarreal@example.com,Mail,HRC Transfer,20080606,Yes,06/07/2008,VILLARREAL|HAROLD|71446,"Villarreal, Harold G",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
DF100975FE3D34EA75DA1BA2E61E6FDA,NT000030,,06/04/2017 08:42:07,06/19/2018 08:42:07,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,RQ000009,Northway,,Charles,,Granddaughter,Carol Northway,2477 Old Post Rd,Colorado Springs,CO,80913,(253) 555-7277,charles.northway@example.com,Mail,Walk-in,06/04/2017,Yes,06/09/2017,NORTHWAY|CHARLES|80913,"Northway, Charles",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
26A61DC4B8F01F717BD18E7B94CDF1F4,NT000031,,11/18/2018 13:52:43,04/07/2019 13:52:43,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,RQ000010,Sandoval,,Patricia,S,Spouse,Cassandra Sandoval,8656 Eisenhower Blvd,Fayetteville,NC,28301,(586) 555-1928,patricia.sandoval@example.com,Phone,HRC Transfer,11/18/2018,Yes,11/23/2018,SANDOVAL|PATRICIA|28301,"Sandoval, Patricia S",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
E9FBBC2F8E2CC9C9926D60C7FD02E9A2,NT000032,,07/14/2026 12:25:31,02/08/2027 12:25:31,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,RQ000011,Cotswold,,John,L,Grandson,Clarence Cotswold,9792 Old Post Rd,Lawton,OK,73507,(703) 555-2917,john.cotswold@example.com,Mail,Walk-in,07/14/2026,Yes,07/16/2026,COTSWOLD|JOHN|73507,"Cotswold, John L",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
A8697322646DB527F5658F40A07CAC4C,NT000033,,01/06/2026 12:42:41,05/12/2026 12:42:41,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,RQ000012,Yarbrough,,Lucille,D,Nephew,Dolores Yarbrough,9568 Bradley Ave,Fayetteville,NC,28301,(315) 555-2499,,Mail,Walk-in,01/06/2026,Yes,01/11/2026,YARBROUGH|LUCILLE|28301,"Yarbrough, Lucille D",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
8A9DC0388F401D79B6A0E41B90BB537F,NT000034,,09/03/2025 12:37:02,09/10/2025 12:37:02,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,RQ000013,Cotswold,,Wanda,,Executor,Rosalind Cotswold,3245 Eisenhower Blvd,Fayetteville,NC,28301,(910) 555-0661,wanda.cotswold@example.com,Phone,Web,20250903,Yes,09/04/2025,COTSWOLD|WANDA|28301,"Cotswold, Wanda",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
966EBCCE580A509D5FCEDB00E941A580,NT000035,,02/18/2009 07:40:22,12/20/2009 07:40:22,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,RQ000014,Marchetti,,Leonard,M,Widow,Darnell Marchetti,8640 Marshall Ct,Watertown,NY,13601,(910) 555-1749,leonard.marchetti@example.com,Mail,Congressional,20090218,Yes,02/21/2009,MARCHETTI|LEONARD|13601,"Marchetti, Leonard M",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
F9B3A8AB0AEF73E1FDB9E528F88A23E4,NT000036,,02/15/2013 14:47:09,03/23/2013 14:47:09,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,RQ000015,Rasmussen,,Rosalind,L,Self,Rosalind L Rasmussen,1501 Old Post Rd,Leesville,LA,71446,,rosalind.rasmussen@example.com,Mail,HRC Transfer,20130215,Yes,02/19/2013,RASMUSSEN|ROSALIND|71446,"Rasmussen, Rosalind L",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
0FDC09EB23A3952530D5AE4CFE710CBB,NT000037,,02/05/2004 12:15:40,08/23/2004 12:15:40,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,RQ000016,Rasmussen,,Walter,G,Son,Vernon Rasmussen,4760 Bradley Ave,Warren,MI,48397,(785) 555-0713,walter.rasmussen@example.com,Mail,Mail,02/05/2004,Yes,02/08/2004,RASMUSSEN|WALTER|48397,"Rasmussen, Walter G",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
ABEB2B3995F7DC768E1E48885EC00704,NT000038,,02/17/2024 11:44:51,03/19/2025 11:44:51,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,RQ000017,Ingersoll,,Tyler,H,Grandson,Tyler Ingersoll,3863 Bradley Ave,Lawton,OK,73507,(315) 555-0263,tyler.ingersoll@example.com,Email,Walk-in,02/17/2024,Yes,02/20/2024,INGERSOLL|TYLER|73507,"Ingersoll, Tyler H",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
B5B7C1FD8DEBE2CD25B21675E9B58D18,NT000039,,02/07/2024 17:25:54,06/27/2024 17:25:54,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,RQ000018,Kirkbride,,Rosalind,L,Self,Rosalind L Kirkbride,4720 Cantonment Way Apt 26C,Colorado Springs,CO,80913,(253) 555-6733,rosalind.kirkbride@example.com,Mail,Web,02/07/2024,Yes,02/08/2024,KIRKBRIDE|ROSALIND|80913,"Kirkbride, Rosalind L",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
