UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ShipmentNumber,CaseNumber,Partial,ShipToName,ShipToStreet,ShipToCity,ShipToState,ShipToZIP,Carrier,TrackingNumber,ShipStatus,PickedDate,ShippedDate,DeliveredDate,Contents,PieceCount,WeightOz,ShippedBy,Postage,ExceptionNote,DocReaders,ShipDateText
CF76B602C35125C5E0CF3D3313DA3438,NT000276,,06/11/2015 21:38:38,06/17/2015 21:38:38,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,SHP-2015-000001,VMA-2015-000001,No,Patricia Sandoval,8656 Eisenhower Blvd,Fayetteville,NC,28301,FedEx Ground,1ZKHEPJ4H8HH6WL4N4,Delivered,06/11/2015 21:38:38,06/12/2015 21:38:38,06/17/2015 21:38:38,2 award line(s) for case VMA-2015-000001,1,20,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,9.32,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
E4DD3054FC114B9A29435FD47403AF41,NT000277,,09/14/2012 06:52:06,09/22/2012 06:52:06,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,SHP-2012-000001,VMA-2012-000001,No,Patricia Sandoval,8656 Eisenhower Blvd,Fayetteville,NC,28301,UPS Ground,1ZR850UFMLRSTHBNJJ,Delivered,09/14/2012 06:52:06,09/15/2012 06:52:06,09/22/2012 06:52:06,3 award line(s) for case VMA-2012-000001,1,39,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,16.57,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
8DA644E5A64796822A6BD312EA75A282,NT000278,,11/12/2024 21:29:03,11/20/2024 21:29:03,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,SHP-2024-000001,VMA-2024-000001,No,Marcus Abernathy,1718 Marshall Ct,Savannah,GA,31405,USPS Registered Mail,9405 5999 7480 7670 3175 98,Delivered,11/12/2024 21:29:03,11/13/2024 21:29:03,11/20/2024 21:29:03,4 award line(s) for case VMA-2024-000001,1,33,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,5.99,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
6C34A7EDCF6C921E41E475402E88286C,NT000279,,12/03/2017 05:48:10,12/12/2017 05:48:10,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,SHP-2017-000001,VMA-2017-000001,No,Clarence Mabry,1090 Liberty Ln,Manchester,NH,03104,FedEx Ground,1ZHSTD6FQZXUCSN9PC,Delivered,12/03/2017 05:48:10,12/04/2017 05:48:10,,3 award line(s) for case VMA-2017-000001,1,16,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,13.87,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
EC365A6E05976A328119BAD6C3B9F6B5,NT000280,,07/04/2023 05:18:03,07/10/2023 05:18:03,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,SHP-2023-000001,VMA-2023-000001,No,Wanda Wentworth,3693 Eisenhower Blvd,El Paso,TX,79916,USPS Priority,9405 5223 3659 2239 8551 82,Delivered,07/04/2023 05:18:03,07/06/2023 05:18:03,07/10/2023 05:18:03,2 award line(s) for case VMA-2023-000001,1,38,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,11.69,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
FE48C6AE1CC5E640731CEA7B17CCA558,NT000281,,07/03/2024 08:48:04,07/11/2024 08:48:04,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,SHP-2024-000002,VMA-2024-000002,No,Tyler Prentiss,8226 Sheridan Rd,Manchester,NH,03104,UPS Ground,1ZFGVXX5W5HFWRU9TK,Delivered,07/03/2024 08:48:04,07/05/2024 08:48:04,07/11/2024 08:48:04,2 award line(s) for case VMA-2024-000002,1,28,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,6.79,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
4C13B25C6E8CF85A50EBE4CDBF6E198F,NT000282,,01/27/2006 10:30:07,02/01/2006 10:30:07,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,SHP-2006-000001,VMA-2006-000001,No,Alvin Kettering,2663 Bradley Ave,Savannah,GA,31405,FedEx Ground,1Z8LH6L445LAN8VNXG,Delivered,01/27/2006 10:30:07,01/28/2006 10:30:07,02/01/2006 10:30:07,4 award line(s) for case VMA-2006-000001,1,38,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,9.29,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
D8114FF79E909AF02972228C67916666,NT000283,,07/30/2013 08:34:22,08/05/2013 08:34:22,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,SHP-2013-000001,VMA-2013-000001,No,Rosalind Kirkbride,4720 Cantonment Way Apt 26C,Colorado Springs,CO,80913,USPS Priority,9405 5774 4412 3772 8531 08,Delivered,07/30/2013 08:34:22,08/01/2013 08:34:22,08/05/2013 08:34:22,2 award line(s) for case VMA-2013-000001,1,17,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,17.17,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
BFCD7F9AFDB09A966A32A258F450C464,NT000284,,08/03/2020 01:41:34,08/08/2020 01:41:34,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,SHP-2020-000001,VMA-2020-000001,No,Lamont Ybarra,5922 Cantonment Way Apt 6C,Tacoma,WA,98433,USPS Priority,9405 5387 1457 6263 0563 90,Delivered,08/03/2020 01:41:34,08/05/2020 01:41:34,08/08/2020 01:41:34,2 award line(s) for case VMA-2020-000001,1,19,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,22.16,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,
6BDC364F0B645441B6D5DDCAC08DBC84,NT000285,,04/20/2004 01:00:45,04/29/2004 01:00:45,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,SHP-2004-000001,VMA-2004-000001,No,Alvin Delgadillo,1924 Bradley Ave,Colorado Springs,CO,80913,USPS Registered Mail,9405 5939 5676 8519 5950 38,Delivered,04/20/2004 01:00:45,22 APR 04,04/29/2004 01:00:45,2 award line(s) for case VMA-2004-000001,1,34,CN=Ret Hamlin/OU=CHPSID/O=TACOM,14.03,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,22 APR 04
